구별,인구수
종로구,152737
중구,125249
용산구,230241
성동구,299259
광진구,357215
동대문구,355069
중랑구,411005
성북구,450355
강북구,327195
도봉구,348220
노원구,567581
은평구,491476
서대문구,314194
마포구,379892
양천구,477739
강서구,595485
구로구,417551
금천구,235386
영등포구,370613
동작구,400997
관악구,506851
서초구,447192
강남구,567115
송파구,657831
강동구,444168
