제목(title),가격(price),link (from 인기 차트 - Google Play 영화)
해리포터 시리즈 완결 패키지,"₩18,900",https://play.google.com/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0_%EC%8B%9C%EB%A6%AC%EC%A6%88_%EC%99%84%EA%B2%B0_%ED%8C%A8%ED%82%A4%EC%A7%80?id=DsVgRu5dDdY
스파이더맨 : 뉴 유니버스,₩900,https://play.google.com/store/movies/details/%EC%8A%A4%ED%8C%8C%EC%9D%B4%EB%8D%94%EB%A7%A8_%EB%89%B4_%EC%9C%A0%EB%8B%88%EB%B2%84%EC%8A%A4?id=k1gK0c5o1Jw
원더 우먼,"₩1,200",https://play.google.com/store/movies/details/%EC%9B%90%EB%8D%94_%EC%9A%B0%EB%A8%BC?id=KcmT1IKKbf4.P
담보,"₩5,500",https://play.google.com/store/movies/details/%EB%8B%B4%EB%B3%B4?id=9fruMH_vWL8.P
나이브스 아웃,"₩1,500",https://play.google.com/store/movies/details/%EB%82%98%EC%9D%B4%EB%B8%8C%EC%8A%A4_%EC%95%84%EC%9B%83?id=C6pJqo3M6WE.P
덩케르크 (자막판),"₩1,200",https://play.google.com/store/movies/details/%EB%8D%A9%EC%BC%80%EB%A5%B4%ED%81%AC_%EC%9E%90%EB%A7%89%ED%8C%90?id=Wq6dvp9lXFE
1917,"₩2,500",https://play.google.com/store/movies/details/1917?id=hwM8em318sg.P
"금지된 섹스, 달콤한 복수","₩1,000",https://play.google.com/store/movies/details/%EA%B8%88%EC%A7%80%EB%90%9C_%EC%84%B9%EC%8A%A4_%EB%8B%AC%EC%BD%A4%ED%95%9C_%EB%B3%B5%EC%88%98?id=v-_mRmy9yK0
목소리의 형태 (자막판),"₩1,000",https://play.google.com/store/movies/details/%EB%AA%A9%EC%86%8C%EB%A6%AC%EC%9D%98_%ED%98%95%ED%83%9C_%EC%9E%90%EB%A7%89%ED%8C%90?id=z0A_U3v7LpY
성판17: 남자들의 17가지 성적 판타지,"₩1,000",https://play.google.com/store/movies/details/%EC%84%B1%ED%8C%9017_%EB%82%A8%EC%9E%90%EB%93%A4%EC%9D%98_17%EA%B0%80%EC%A7%80_%EC%84%B1%EC%A0%81_%ED%8C%90%ED%83%80%EC%A7%80?id=_TcYrrVVc_M
위대한 쇼맨 (자막판),"₩1,400",https://play.google.com/store/movies/details/%EC%9C%84%EB%8C%80%ED%95%9C_%EC%87%BC%EB%A7%A8_%EC%9E%90%EB%A7%89%ED%8C%90?id=Xg0IY-rRzAE
트롤 :월드투어,"₩1,000",https://play.google.com/store/movies/details/%ED%8A%B8%EB%A1%A4_%EC%9B%94%EB%93%9C%ED%88%AC%EC%96%B4?id=2V91SbWZhIk.P
